Nama_Lokasi;Kabupaten;lat;lon;foto
Batu Burung;Singkawang;0.8668275313675431;108.90685232551213;BatuBurung.jpg
Bukit kelam;Sintang;0.060407253271503;111.65678026490039;Bukit_Kelam.jpg
Bukit Su Saleh;Bengkayang;0.823932182775766;108.85994462019748;Bukit_SuSaleh.jpg
Bukit Talogah;Bengkayang;0.5737962311449157;110.52771729425925;Bukit_Talogah.jpg
Bukit Wangkang;Kubu Raya;-0.37913813838223503;109.31010037231152;Bukit_Wangkang.jpg
Pantai Gratis;Singkawang;0.8411066823186661;108.8751060528173;Pantai_Gratis.jpg
Parit Mukhsin;Kubu Raya;-0.11655423490824247;109.36060406320225;ParitMuhksin.jpg
PLBN Jagoi Babang;Bengkayang;1.318398084974913;109.97397396417165;PLBN_JagoiBabang.jpg
Riamg Angan;Landak;0.2358837113390095;110.06800859200972;Riam_Angan.jpg
Sentabeng 1;Bengkayang;1.4082789264816469;109.94903377930471;Sentabeng1.jpg
Sentabeng 2;Bengkayang;1.4081808429349705;109.94914590821067;Sentabeng2.jpg
Tugu Khatulistiwa;Pontianak;0.0010522843123141436;109.32221088305621;Tugu_Khatulistiwa.jpg
Bukit Macan;Sanggau;-0.024453071395906707;110.56697641052412;BukitMacan.jpg
Desa Pasak;Kubu Raya;-0.11602107012688939;109.60677703413934;Desa_Pasak.jpg
Gunung Tangkuban Perahu;Subang;-6.758002282349174;107.61787215228112;Gunung_TangkubanPerahu.jpg
Kebun Teh;Subang;-6.7718804276865825;107.63727718484158;KebunTeh_Bandung.jpg
Istana Amantubillah;Mempawah;0.3707745869895306;108.96134013148773;Keraton_Amantubillah.jpeg
Makam Juang Mandor;Landak;0.3164963844109277;109.33658481617213;Makam_JuangMandor.jpeg
Pantai Bahari Jawai Laut;Sambas;1.2946886577703953;109.00940537565653;Pantai_BahariSambas.jpg
Pelabuhan Perikanan Kuala Mempawah;Mempawah;0.31688827409437875;108.96733475150874;Pelabuhan_KualaMempawah.jpg
Pulau Kabung;Bengkayang;0.825978726472733;108.78714280661596;Pulau_Kabung.jpg
Riam Ampang;Bengkayang;1.0552711092869003;109.78480688845649;Riam_Ampang.jpg
Riamg Barawant;Bengkayang;1.1463153546664653;109.84694017481712;Riam_Berawant.jpg
Riam Merasap;Bengkayang;1.1272878760512854;109.74468626552074;Riam_Merasap.jpg
Riam Pangar;Bengkayang;1.123345142195668;109.74918198781825;Riam_Pangar.jpg
Air Terjun Saka 2;Sanggau;-0.04078868432047009;110.53658947347942;Riam_Saka2.jpg
SMA 8;Pontianak;-0.051535489517298645;109.29807040565358;SMA8.jpg
Wisata Mangrove Sui.Kupah;Kubu Raya;0.031753861834147315;109.16959407890697;Sui_Kupah.jpg
Surau Hidayatul Muslimin;Pontianak;-0.021752805778725168;109.3273359487136;Surau_HidayatulMuslimin.jpg
Kolam Ikan UNTAN;Pontianak;-0.05859538226881939;109.3467987693498;Kolam_IkanUNTAN.jpg
Pantai Samudra Indah;Bengkayang;0.8347613374074976;108.86580513191481;Pantai_SI.jpg
Bukit Rentap;Sintang;0.13718365745594163;111.72744535958344;Bukit_Rentap.jpg
